target,token_normalization,entity_replacement,balance,feature_method,model,accuracy,precision_macro,recall_macro,f1_macro
causality,stem,False,none,BOW,"Naive Bayes, Multinomial",0.89937106918239,0.8934676434676434,0.8628941441441442,0.8760233918128655
causality,stem,False,none,BOW,"Naive Bayes, Complement",0.9182389937106918,0.9093567251461988,0.8941441441441442,0.9012186379928315
causality,stem,False,none,BOW,Random Forest,0.89937106918239,0.9252941176470588,0.8392454954954955,0.8685407193054981
causality,stem,False,none,BOW,Support Vector Machines,0.9308176100628931,0.9248538011695906,0.9090653153153153,0.916415770609319
causality,stem,False,smote,Doc2Vec,Logistic Regression,0.7547169811320755,0.7076923076923077,0.6824324324324325,0.6914464845499328
causality,stem,False,smote,Doc2Vec,Random Forest,0.7484276729559748,0.7369976359338062,0.6128941441441441,0.6176046176046176
causality,stem,False,smote,Doc2Vec,Support Vector Machines,0.7044025157232704,0.8512658227848101,0.5104166666666666,0.4330475684697671
causality,stem,False,smote,BOW,Logistic Regression,0.9056603773584906,0.8820754716981132,0.9028716216216217,0.891180362275859
causality,stem,False,smote,BOW,"Naive Bayes, Multinomial",0.8930817610062893,0.8717996289424861,0.8761261261261262,0.8739095955590801
causality,stem,False,smote,BOW,"Naive Bayes, Complement",0.8930817610062893,0.8717996289424861,0.8761261261261262,0.8739095955590801
causality,stem,False,smote,BOW,Random Forest,0.89937106918239,0.8730795493342438,0.9101914414414414,0.8867924528301887
causality,stem,False,smote,BOW,Support Vector Machines,0.89937106918239,0.8743386243386243,0.8983671171171171,0.8845315904139435
causality,stem,False,ada,Doc2Vec,Logistic Regression,0.7547169811320755,0.7076923076923077,0.6824324324324325,0.6914464845499328
causality,stem,False,ada,Doc2Vec,Random Forest,0.7484276729559748,0.7369976359338062,0.6128941441441441,0.6176046176046176
causality,stem,False,ada,Doc2Vec,Support Vector Machines,0.7044025157232704,0.8512658227848101,0.5104166666666666,0.4330475684697671
causality,stem,False,ada,BOW,Logistic Regression,0.89937106918239,0.8743386243386243,0.8983671171171171,0.8845315904139435
causality,stem,False,ada,BOW,"Naive Bayes, Multinomial",0.9119496855345912,0.8955518018018018,0.8955518018018018,0.8955518018018018
causality,stem,False,ada,BOW,"Naive Bayes, Complement",0.9119496855345912,0.8955518018018018,0.8955518018018018,0.8955518018018018
causality,stem,False,ada,BOW,Random Forest,0.9056603773584906,0.8807692307692307,0.9087837837837838,0.892300745089185
causality,stem,False,ada,BOW,Support Vector Machines,0.8930817610062893,0.8668706293706294,0.8938626126126126,0.8779408444344096
direction,lemm,True,none,Doc2Vec,Logistic Regression,0.6708074534161491,0.4686697301755626,0.4463845034581338,0.45184586811381067
direction,lemm,True,none,Doc2Vec,Random Forest,0.7763975155279503,0.8155555555555555,0.44977533347435084,0.47845488877087394
direction,lemm,True,none,Doc2Vec,Support Vector Machines,0.7391304347826086,0.24637681159420288,0.3333333333333333,0.2833333333333333
direction,lemm,True,none,BOW,Logistic Regression,0.9440993788819876,0.9318879855465222,0.8898973777153882,0.9064291215067269
direction,lemm,True,none,BOW,"Naive Bayes, Multinomial",0.8633540372670807,0.822238960549854,0.7243620560352287,0.7557693516946489
direction,lemm,True,none,BOW,"Naive Bayes, Complement",0.8198757763975155,0.7072925279951798,0.7194969520989174,0.7096171802054156
direction,lemm,True,none,BOW,Random Forest,0.8633540372670807,0.8607794361525705,0.6948765776333418,0.7504832763144784
