embedding,stop_words,lemmatization,hidden_dim_1,hidden_dim_2,lstm_stack,dropout,dropout_rate,sample_weights,trainable,accuracy,precision_0,precision_1,precision_2,precision_macro,recall_0,recall_1,recall_2,recall_macro,f1_0,f1_1,f1_2,f1_macro
glove,False,False,256,64,True,True,0.1,False,True,0.9695652173913043,0.9805671512883259,0.9271758436944938,0.8722222222222222,0.9266550724016808,0.9905482041587902,0.8338658146964856,0.8610603290676416,0.8951581159743057,0.9855324074074074,0.8780487804878049,0.8666053357865685,0.9100621745605936
glove,False,False,256,128,True,True,0.1,False,True,0.9614906832298137,0.9840643274853801,0.9040404040404041,0.7662337662337663,0.8847794992531836,0.9787698124182056,0.8578274760383386,0.8628884826325411,0.8998285903630284,0.9814099292848291,0.8803278688524591,0.8116938950988823,0.8911438977453902
glove,False,False,256,256,True,True,0.1,False,True,0.9718012422360248,0.9807027649769585,0.9182282793867121,0.9132947976878613,0.9374086140171772,0.9902573796713683,0.8610223642172524,0.8665447897623401,0.905941511216987,0.9854569133926632,0.8887056883759274,0.8893058161350844,0.921156139301225
glove,False,False,32,32,True,True,0.25,False,True,0.9696894409937888,0.9829109341057205,0.8876404494382022,0.89272030651341,0.9210905633524442,0.9869128980660171,0.8833865814696485,0.8519195612431444,0.90740634692627,0.9849078508199101,0.8855084067253803,0.8718428437792328,0.9140863671081744
glove,False,False,32,64,True,True,0.25,False,True,0.9678260869565217,0.9823367598088896,0.9016666666666666,0.856353591160221,0.9134523392119257,0.9866220735785953,0.8642172523961661,0.850091407678245,0.9003102445510022,0.9844747533372026,0.8825448613376836,0.853211009174312,0.906743541283066
glove,False,False,32,128,True,True,0.25,False,True,0.9700621118012422,0.988009942974119,0.9074675324675324,0.8285714285714286,0.9080163013376934,0.9825505307546896,0.8929712460063898,0.9012797074954296,0.9256004947521697,0.9852726742490523,0.9001610305958131,0.8633975481611208,0.9162770843353288
glove,False,False,32,256,True,True,0.25,False,True,0.9727950310559006,0.9828183655789777,0.9237435008665511,0.8976234003656307,0.9347284222703864,0.9898211429402356,0.8514376996805112,0.8976234003656307,0.9129607476621259,0.986307324494675,0.8861180382377389,0.8976234003656307,0.9233495876993482
glove,False,False,64,32,True,True,0.25,False,True,0.9696894409937888,0.9864352392065344,0.9006514657980456,0.8448275862068966,0.9106380970704923,0.983423004216955,0.8833865814696485,0.8957952468007313,0.9208682774957783,0.9849268186121022,0.8919354838709678,0.8695652173913043,0.9154758399581248
glove,False,False,64,64,True,True,0.25,False,True,0.9726708074534162,0.9850594720046417,0.8990384615384616,0.8984962406015038,0.9275313913815357,0.9874945470408608,0.8961661341853036,0.8738574040219378,0.9191726950827007,0.9862755064991648,0.8976000000000001,0.8860055607043559,0.9232936890678403
glove,False,False,64,128,True,True,0.25,False,True,0.9681987577639751,0.9842886237998254,0.9021558872305141,0.8446771378708552,0.9103738829670648,0.9838592409480879,0.8690095846645367,0.8848263254113345,0.9125650503413197,0.9840738855355974,0.8852725793327908,0.8642857142857143,0.9112107263847008
