embedding,stop_words,lemmatization,hidden_dim,lstm_stack,dropout,sample_weights,trainable,accuracy,precision_0,precision_1,precision_2,precision_macro,recall_0,recall_1,recall_2,recall_macro,f1_0,f1_1,f1_2,f1_macro
text_vectorization,False,True,64,False,True,True,False,0.955527950310559,0.9826674500587544,0.8407643312101911,0.7719869706840391,0.8651395839843282,0.9728079104260579,0.8434504792332268,0.8665447897623401,0.894267726473875,0.9777128242601388,0.8421052631578947,0.8165374677002584,0.8787851850394306
text_vectorization,False,True,64,False,True,False,True,0.29440993788819875,0.8822070675759455,0.08221732497033396,0.8587360594795539,0.6077201506752777,0.2069216228006398,0.7747603833865815,0.8446069469835467,0.608762984390256,0.3352179034157832,0.14865900383141764,0.8516129032258064,0.4451632701576691
text_vectorization,False,True,64,False,True,False,False,0.2914285714285714,0.8946015424164524,0.9007352941176471,0.07798319327731093,0.6244400099371369,0.20241384324560127,0.7827476038338658,0.8482632541133455,0.6111415670642709,0.3301316257559587,0.8376068376068375,0.14283515468677851,0.4368578726831916
text_vectorization,False,False,64,True,True,True,True,0.9470807453416149,0.9857869539198085,0.7692307692307693,0.7445141065830722,0.8331772765778833,0.9581212738112549,0.8945686900958466,0.8683729433272395,0.9070209690781136,0.9717572450409263,0.827178729689808,0.8016877637130801,0.8668745794812714
text_vectorization,False,False,64,True,True,True,False,0.9414906832298137,0.9827870079329442,0.7608391608391608,0.7171253822629969,0.8202505170117007,0.9547767922059037,0.8690095846645367,0.8574040219378428,0.8937301329360944,0.9685794364950582,0.8113348247576435,0.7810158201498751,0.8536433604675256
text_vectorization,False,False,64,True,True,False,True,0.29354037267080746,0.8981841763942932,0.08510279743849006,0.8240418118466899,0.6024429285598244,0.20139595753962483,0.8067092651757188,0.8647166361974405,0.6242739529709281,0.3290176980639031,0.15396341463414634,0.8438893844781444,0.442290165725398
text_vectorization,False,False,64,True,True,False,False,0.28956521739130436,0.911825017088175,0.0882303699983258,0.7654723127035831,0.5885092332633612,0.1939799331103679,0.84185303514377,0.8592321755027422,0.6316883812522933,0.3199040767386091,0.15972116987422336,0.8096468561584841,0.42975736759043887
text_vectorization,False,False,64,False,True,True,True,0.9563975155279503,0.984531526222746,0.8208955223880597,0.7871621621621622,0.8641964035909893,0.9717900247200815,0.8785942492012779,0.8519195612431444,0.9007679450548346,0.9781192828393707,0.8487654320987654,0.8182616330114135,0.8817154493165166
text_vectorization,False,False,64,False,True,True,False,0.9524223602484472,0.9864764452370337,0.8041237113402062,0.7523364485981309,0.847645535058457,0.96524647375309,0.8722044728434505,0.8829981718464351,0.9068163728143253,0.9757459944142289,0.8367816091954025,0.8124474348191758,0.8749916794762691
text_vectorization,False,False,64,False,True,False,True,0.29428571428571426,0.9118037135278515,0.08917835671342686,0.8303249097472925,0.6104356599961903,0.19994183510251562,0.853035143769968,0.8409506398537477,0.6313092062420771,0.3279666070363745,0.1614756576957968,0.835603996366939,0.44168208703303674
